Source Class,Target Class,Association Type,Source Multiplicity,Target Multiplicity,Association Name
Author,Book,Association,1,0..*,writes
Publisher,Book,Association,1,0..*,publishes
Category,Book,Association,1,0..*,contains
Customer,Address,Association,1,1,has
Customer,Rating,Association,1,0..*,gives
Customer,Review,Association,1,0..*,writes
Customer,Wishlist,Association,1,1,has
Customer,Cart,Association,1,1,owns
Customer,Order,Association,1,0..*,places
Wishlist,WishlistItem,Composition,1,0..*,contains
WishlistItem,Book,Association,0..*,1,references
Rating,Book,Association,0..*,1,rates
Review,Book,Association,0..*,1,reviews
Cart,CartItem,Composition,1,0..*,contains
CartItem,Book,Association,0..*,1,references
Staff,Order,Association,1,0..*,processes
Order,Shipping,Association,1,1,has
Order,Payment,Association,1,1,has
Order,OrderItem,Composition,1,1..*,contains
Order,OrderHistory,Association,1,0..*,tracks
Order,Refund,Association,1,0..*,has
OrderItem,Book,Association,0..*,1,references
OrderHistory,Staff,Association,0..*,0..1,changed_by
Refund,Staff,Association,0..*,0..1,processed_by
Book,Inventory,Association,1,1,tracked_by
Inventory,InventoryLog,Association,1,0..*,logs
InventoryLog,Staff,Association,0..*,0..1,performed_by
Notification,Customer,Association,0..*,0..1,sent_to
Notification,Staff,Association,0..*,0..1,sent_to
Notification,Order,Association,0..*,0..1,related_to
